sex,age,nuts,year,population,is_provisional
F,Y10-14,AL011,2021,3604.0,False
F,Y10-14,AL012,2021,7573.0,False
F,Y10-14,AL013,2021,2335.0,False
F,Y10-14,AL014,2021,3555.0,False
F,Y10-14,AL015,2021,6157.0,False
F,Y10-14,AL021,2021,7976.0,False
F,Y10-14,AL022,2021,22741.0,False
F,Y10-14,AL031,2021,3480.0,False
F,Y10-14,AL032,2021,8607.0,False
F,Y10-14,AL033,2021,1612.0,False
F,Y10-14,AL034,2021,6323.0,False
F,Y10-14,AL035,2021,5103.0,False
F,Y10-14,AT111,2021,834.0,False
F,Y10-14,AT112,2021,3678.0,False
F,Y10-14,AT113,2021,2144.0,False
F,Y10-14,AT121,2021,6220.0,False
F,Y10-14,AT122,2021,6172.0,False
F,Y10-14,AT123,2021,3818.0,False
F,Y10-14,AT124,2021,4724.0,False
F,Y10-14,AT125,2021,2694.0,False
F,Y10-14,AT126,2021,8336.0,False
F,Y10-14,AT127,2021,8390.0,False
F,Y10-14,AT130,2021,42849.0,False
F,Y10-14,AT211,2021,6432.0,False
F,Y10-14,AT212,2021,2686.0,False
F,Y10-14,AT213,2021,3449.0,False
F,Y10-14,AT221,2021,9701.0,False
F,Y10-14,AT222,2021,1758.0,False
F,Y10-14,AT223,2021,3079.0,False
F,Y10-14,AT224,2021,6049.0,False
F,Y10-14,AT225,2021,4385.0,False
F,Y10-14,AT226,2021,2158.0,False
F,Y10-14,AT311,2021,6837.0,False
F,Y10-14,AT312,2021,14211.0,False
F,Y10-14,AT313,2021,5494.0,False
F,Y10-14,AT314,2021,3834.0,False
F,Y10-14,AT315,2021,5636.0,False
F,Y10-14,AT321,2021,478.0,False
F,Y10-14,AT322,2021,3969.0,False
F,Y10-14,AT323,2021,8573.0,False
F,Y10-14,AT331,2021,759.0,False
F,Y10-14,AT332,2021,6771.0,False
F,Y10-14,AT333,2021,1195.0,False
F,Y10-14,AT334,2021,2630.0,False
F,Y10-14,AT335,2021,6110.0,False
F,Y10-14,AT341,2021,2378.0,False
F,Y10-14,AT342,2021,7796.0,False
F,Y10-14,BE100,2021,36927.0,False
F,Y10-14,BE211,2021,30983.0,False
F,Y10-14,BE212,2021,9861.0,False
F,Y10-14,BE213,2021,12630.0,False
F,Y10-14,BE223,2021,5453.0,False
F,Y10-14,BE224,2021,11410.0,False
F,Y10-14,BE225,2021,6884.0,False
F,Y10-14,BE231,2021,8446.0,False
F,Y10-14,BE232,2021,5716.0,False
F,Y10-14,BE233,2021,2326.0,False
F,Y10-14,BE234,2021,15261.0,False
F,Y10-14,BE235,2021,3689.0,False
F,Y10-14,BE236,2021,7833.0,False
F,Y10-14,BE241,2021,20436.0,False
F,Y10-14,BE242,2021,14139.0,False
F,Y10-14,BE251,2021,6790.0,False
F,Y10-14,BE252,2021,1409.0,False
F,Y10-14,BE253,2021,2976.0,False
